CODE;ENGLISH;;;;;;;;;;X
April;四月;;;;;;;;;;X
August;八月;;;;;;;;;;X
December;腊月;;;;;;;;;;X
February;二月;;;;;;;;;;X
Friday;金曜日;;;;;;;;;;X
January;正月;;;;;;;;;;X
July;七月;;;;;;;;;;X
June;六月;;;;;;;;;;X
March;三月;;;;;;;;;;X
May;五月;;;;;;;;;;X
Monday;月曜日;;;;;;;;;;X
November;十一月;;;;;;;;;;X
October;十月;;;;;;;;;;X
Saturday;金曜日;;;;;;;;;;X
September;九月;;;;;;;;;;X
Sunday;土曜日;;;;;;;;;;X
Thursday;木曜日;;;;;;;;;;X
Tuesday;火曜日;;;;;;;;;;X
Wednesday;水曜日;;;;;;;;;;X
CORE_PAUSE;暂停;;;;;;;;;;X
noculture;无文化;;;;;;;;;;X
Owned by $owner$, but currently occupied by $control$;是 $owner$ 的领土, 但被 $control$ 军事占领;;;;;;;;;;X
Owned by $owner$.;是 $owner$ 的领土;;;;;;;;;;X
TERRA_INCOGNITA;未知省份;;;;;;;;;;X
SPY_SEND_TITLE;派遣间谍到$WHO$;;;;;;;;;;X
BOOST_BUTTON;花费$COST$以立即获得$EFFECT$效果. ;;;;;;;;;;X
MANU_INCOME;工厂收入奖励$VALUE$;;;;;;;;;;X
MANU_INCOME_D;工厂收入奖励$VALUE$. (省份$GOODS$生产加倍. );;;;;;;;;;X
TAKE_BANK_LOAN;借出5年期贷款$AMOUNT$. \n同时你的贷款上升$SUPPORT$. ;;;;;;;;;;X
DIRECT_TAX;在年终, 可征得一大笔直接税. ;;;;;;;;;;X
DIRECT_TAX2;省份在每年1月1日向政府缴纳额外税金. ;;;;;;;;;;X
NO_COMMANDER;(无将领);;;;;;;;;;X
MORALE;士气;;;;;;;;;;X
SHOCK_PHASE;冲击;;;;;;;;;;X
FIRE_PHASE;攻击;;;;;;;;;;X
FOOD_SHORTAGE;(食物短缺);;;;;;;;;;X
SURRENDER;(投降);;;;;;;;;;X
DEF_DESERT;(防卫溃散);;;;;;;;;;X
BREACH;(城墙破裂);;;;;;;;;;X
WATER_SHORTAGE;(饮水短缺);;;;;;;;;;X
STATUS_QUO;(僵持);;;;;;;;;;X
PROVINCES;省份;;;;;;;;;;X
GIVE_UP_CORES;核心省份;;;;;;;;;;X
CANCEL_VASSALS;封臣;;;;;;;;;;X
RELEASE_NATIONS;新国家;;;;;;;;;;X
SEND_OFFER;送出;;;;;;;;;;X
CANCEL_OFFER;取消;;;;;;;;;;X
ANNEX_NATION;吞并;;;;;;;;;;X
DEMAND_PEACE;要求条件;;;;;;;;;;X
OFFER_WP;无条件和平;;;;;;;;;;X
OFFER_PEACE;提供条件;;;;;;;;;;X
BACK;返回;;;;;;;;;;X
PO_PD_100;阁下, 我们赢得了对$ENEMY$的\n完全胜利, 可以完全将其吞并. \n但这会极大的惹恼$RELIGION$\n世界诸国. ;;;;;;;;;;X
PO_PD_70;你赢得了全面胜利. \n你可以要求对方割让数个省份, \n大量战争赔款或其他条件. ;;;;;;;;;;X
PO_PD_40;你赢得了绝对胜利. \n你可以要求对方割让一个省份, \n一些战争赔款或其他条件. ;;;;;;;;;;X
PO_PD_10;你赢得了一场胜利. \n你可以要求对方无条件和平, \n一少量战争赔款或其他条件. ;;;;;;;;;;X
PO_PD_NEG_5;战争胜负未决. \n如果敌人无心恋战, \n可能会接受无条件和平. ;;;;;;;;;;X
PO_PD_NEG_25;敌人赢得了一场胜利. \n想要和平你得提供少量\n战争赔款或一个省份. ;;;;;;;;;;X
