;;;;;;;;;;x,,,
aristocracy_plutocracy;公家政治/士卿政治;;;;;;;;;;X,,,
centralization_decentralization;君主集权/封邦建国;;;;;;;;;;X,,,
innovative_narrowminded;尚今思新/祭祖崇古;;;;;;;;;;X,,,
mercantilism_freetrade;盐铁均输/四海通商;;;;;;;;;;X,,,
offensive_defensive;开疆拓土/持盈守成;;;;;;;;;;X,,,
land_naval;问鼎中原/开拓不毛;;;;;;;;;;X,,,
quality_quantity;精兵强将/千军万马;;;;;;;;;;X,,,
serfdom_freesubjects;井田蓄奴/私田耕作;;;;;;;;;;X,,,
aristocracy_plutocracy_left;公家政治;;;;;;;;;;X,,,
aristocracy_plutocracy_right;士卿政治;;;;;;;;;;X,,,
centralization_decentralization_left;君主集权;;;;;;;;;;X,,,
centralization_decentralization_right;封邦建国;;;;;;;;;;X,,,
innovative_narrowminded_left;尚今思新;;;;;;;;;;X,,,
innovative_narrowminded_right;祭祖崇古;;;;;;;;;;X,,,
mercantilism_freetrade_left;盐铁均输;;;;;;;;;;X,,,
mercantilism_freetrade_right;四海通商;;;;;;;;;;X,,,
offensive_defensive_left;开疆拓土;;;;;;;;;;X,,,
offensive_defensive_right;持盈守成;;;;;;;;;;X,,,
land_naval_left;问鼎中原;;;;;;;;;;X,,,
land_naval_right;开拓不毛;;;;;;;;;;X,,,
quality_quantity_left;精兵强将;;;;;;;;;;X,,,
quality_quantity_right;千军万马;;;;;;;;;;X,,,
serfdom_freesubjects_left;井田蓄奴;;;;;;;;;;X,,,
serfdom_freesubjects_right;私田耕作;;;;;;;;;;X,,,
DOMESTIC_NAVAL;外交;;;;;;;;;;X,,,
DOMESTIC_LAND;军事;;;;;;;;;;X,,,
DOMESTIC_EXPLORATION;经济;;;;;;;;;;X,,,
DOMESTIC_STATE;政治;;;;;;;;;;X,,,
DOMESTIC_CULTURE;文化;;;;;;;;;;X,,,
press_gangs;威震华夏·恩威并施;;;;;;;;;;X,,,
grand_navy;嫡长继承;;;;;;;;;;X,,,
sea_hawks;广结诸侯·蒐狩之礼;;;;;;;;;;X,,,
superior_seamanship;天命所归·家国天下;;;;;;;;;;X,,,
naval_glory;莫非王土;;;;;;;;;;X,,,
excellent_shipwrights;尊王攘夷;;;;;;;;;;X,,,
naval_fighting_instruction;逐鹿中原;;;;;;;;;;X,,,
naval_provisioning;合纵连横;;;;;;;;;;X,,,
grand_army;行舟走舸;;;;;;;;;;X,,,
military_drill;奖励耕战;;;;;;;;;;X,,,
engineer_corps;军功授爵;;;;;;;;;;X,,,
battlefield_commisions;私募制度;;;;;;;;;;X,,,
glorious_arms;千乘之国;;;;;;;;;;X,,,
national_conscripts;上兵伐谋;;;;;;;;;;X,,,
regimental_system;革化战阵;;;;;;;;;;X,,,
napoleonic_warfare;广纳兵家;;;;;;;;;;X,,,
land_of_opportunity;重农抑商;;;;;;;;;;X,,,
merchant_adventures;端木遗风;;;;;;;;;;X,,,
colonial_ventures;盐铁专卖;;;;;;;;;;X,,,
shrewd_commerce_practise;封邑建设;;;;;;;;;;X,,,
vice_roys;开拓荒蛮;;;;;;;;;;X,,,
quest_for_the_new_world;物产开发;;;;;;;;;;X,,,
scientific_revolution;什一之制;;;;;;;;;;X,,,
