;;;;;;;;;;X,,,,
MODIFIER_TECHNOLOGY_COST;科研费用 ;;;;;;;;;;X,,,,
MODIFIER_DISCIPLINE;训练度 ;;;;;;;;;;X,,,,
MODIFIER_REINFORCE_SPEED;补充速度 ;;;;;;;;;;X,,,,
UV_SHIPS;船只: ;;;;;;;;;;X,,,,
UNIT_QUEUED;(加入队列) ;;;;;;;;;;X,,,,
QUEUE_SIZE;现有$SIZE$个单位在队列中. ;;;;;;;;;;X,,,,
CURRENTLY_QUEUED;还有$SIZE$个单位在建造队列中. ;;;;;;;;;;X,,,,
TIP_CONSTR_MERC;征募私募兵 ;;;;;;;;;;X,,,,
NO_MERCS_AROUND;只能在本大陆征召私募兵. ;;;;;;;;;;X,,,,
CONSOLIDATE_BUTTON;团队整编, 将未满员的同类团队整合为几个满\n员团队 ;;;;;;;;;;X,,,
BATTLES_SCORE;战役:  ;;;;;;;;;;X,,,,
SETREVOLUTIONTARGET_EFFECT;$WHO$将成为革命的中心. \n ;;;;;;;;;;X,,,,
ROYAL_MARRIAGE_EFFECT;与$WHO$公室联姻. \n ;;;;;;;;;;X,,,,
ALLIANCE_EFFECT;与$WHO$军事同盟. \n ;;;;;;;;;;X,,,,
CREATE_ADMIRAL_EFFECT;征召提督需要$POWER$海军传统. \n ;;;;;;;;;;X,,,,
CREATE_EXPLORER_EFFECT;征召探险家需要$POWER$海军传统. \n ;;;;;;;;;;X,,,,
CREATE_CONQUISTADOR_EFFECT;征召征服者需要$POWER$陆军传统. \n ;;;;;;;;;;X,,,,
CREATE_GENERAL_EFFECT;征召将军需要$POWER$陆军传统. \n ;;;;;;;;;;X,,,,
CREATE_COLONY;$SIZE$拓荒队将抵达$WHERE$. \n ;;;;;;;;;;X,,,,
REMOVE_MERCHANT_EFFECT;$WHO$失去一个商贾在$WHERE$. \n ;;;;;;;;;;X,,,,
SEND_MERCHANT_EFFECT;$WHO$得到一个商贾在$WHERE$. \n ;;;;;;;;;;X,,,,
KILL_RULER_EFFECT;当前统治者($NAME$)将死去. \n ;;;;;;;;;;X,,,,
KILL_LEADER_EFFECT;将领$NAME$将死去. \n ;;;;;;;;;;X,,,,
DEFINE_ADMIRAL_EFFECT;提督$NAME$开始服役. \n ;;;;;;;;;;X,,,,
DEFINE_EXPLORER_EFFECT;探险家$NAME$开始服役. \n ;;;;;;;;;;X,,,,
DEFINE_CONQUISTADOR_EFFECT;征服者$NAME$开始服役. \n ;;;;;;;;;;X,,,,
DEFINE_GENERAL_EFFECT;将军$NAME$开始服役. \n ;;;;;;;;;;X,,,,
RELEASE_VASSAL_EFFECT;$TARGET$将独立并成为附庸国. \n ;;;;;;;;;;X,,,,
#############;;;;;;;;;;;X,,,,
MODIFIER_REMOVED;$WHAT$ 将从 $WHERE$被移除. \n ;;;;;;;;;;X,,,,
#############;;;;;;;;;;;X,,,,
OPENEDMARKET;该国关闭了市场 ;;;;;;;;;;X,,,,
AUTOSEND_PRIORITIES_SHORT;点击改变自动派遣商人优先级 ;;;;;;;;;;X,,,,
AUTOSEND_PRIORITIES_LONG;你可以在每个贸易中心设置商人派遣优先级. \n红叉表示不会派遣商人, 上面的指示条分三个\n等级, 红色最低, 黄色中等, 绿色最优先. ;;;;;;;;;;X
LEDGER_SHORTCUT_LONG;统计表里的贸易中心页可以设定商人派遣的事\n项. 你既可\n以手动派遣商人也可以自动派遣. \n这里有一个附加选项, 可以根据情况关闭自动\n派遣. ;;;;;;;;;;X,,,
LEDGER_SHORTCUT_SHORT;点击转入统计表里的贸易中心页 ;;;;;;;;;;X,,,,
LEDGER_CLICK_TO_SEND_MERCHANT;点击旗帜派遣商人 ;;;;;;;;;;X,,,,
LEDGER_CLICK_TO_SEND_MERCHANT2;你没有商贾可派遣 ;;;;;;;;;;X,,,,
COTLEDGER_COT_AUTOSEND_S;自动派遣商人 ;;;;;;;;;;X,,,,
COTLEDGER_COT_AUTOSEND_L;你可以在这里设置商人自动派遣. 红叉表示不\n派遣商人, 上面的指示条分三个等级, 红色最\n低, 黄色中等, 绿色最优先. ;;;;;;;;;;X
COTLEDGER_COT_MONOPOLY_S;垄断 ;;;;;;;;;;X,,,,
COTLEDGER_COT_MONOPOLY_L;顶端的盾徽显示了哪个国家在垄断这个贸易中\n心 ;;;;;;;;;;X,,,,
LEDGER_TEXTBOX_AUTOSEND;自动派遣商人 ;;;;;;;;;;X,,,,
GO_NORMAL;普通 ;;;;;;;;;;X,,,,
GO_HISTORICAL;历史 ;;;;;;;;;;X,,,,
GO_EVENT;事件 ;;;;;;;;;;X,,,,
GO_COST_MONEY;普通 ;;;;;;;;;;X,,,,
GO_FROM_GOLD;只有黄金通货膨胀 ;;;;;;;;;;X,,,,
GO_NONE;无通货膨胀 ;;;;;;;;;;X,,,,
GO_LOW;低 ;;;;;;;;;;X,,,,
GO_NORMAL_50_YEARS;普通(50年) ;;;;;;;;;;X,,,,
GO_HIGH;高 ;;;;;;;;;;X,,,,
GO_25_YEARS;25年 ;;;;;;;;;;X,,,,
GO_75_YEARS;75年 ;;;;;;;;;;X,,,,
GO_100_YEARS;100年 ;;;;;;;;;;X,,,,
GO_200_YEARS;200年 ;;;;;;;;;;X,,,,
GO_NORMAL_TEN_TIMES;普通(十倍) ;;;;;;;;;;X,,,,
GO_FIVE_TIMES;五倍 ;;;;;;;;;;X,,,,
GO_TWO_TIMES;两倍 ;;;;;;;;;;X,,,,
FE_OK;接受 ;;;;;;;;;;X,,,,
GO_FREE;免费 ;;;;;;;;;;X,,,,
####Country Flags######;;;;;;;;;;;X,,,,
librium_veto;自由选举制 ;;;;;;;;;;X,,,,
####New Governments####;;;;;;;;;;;X,,,,
revolutionary_republic;革命共和制 ;;;;;;;;;;X,,,,
revolutionary_republic_ruler;执政 ;;;;;;;;;;X,,,,
revolutionary_empire;革命帝国制 ;;;;;;;;;;X,,,,
revolutionary_empire_ruler;霸主 ;;;;;;;;;;X,,,,
FE_RULER;统治者 ;;;;;;;;;;X,,,,
FE_ADVISORS;臣属 ;;;;;;;;;;X,,,,
FE_LEADERS;将领 ;;;;;;;;;;X,,,,
FE_COLONISTS;拓荒队 ;;;;;;;;;;X,,,,
FE_MERCHANTS;商贾 ;;;;;;;;;;X,,,,
FE_MISSIONARIES;布道者 ;;;;;;;;;;X,,,,
FE_INFLATION;通货膨胀 ;;;;;;;;;;X,,,,
FE_SIZE_OF_COLONISTS;拓荒队人数 ;;;;;;;;;;X,,,,
FE_COT_OPTIONS;贸易中心选项 ;;;;;;;;;;X,,,,
FE_AI_AGGRESSIVENESS;电脑攻击性 ;;;;;;;;;;X,,,,
FE_SPREAD1;省份发现传播速度 ;;;;;;;;;;X,,,,
FE_SPREAD2;海域发现传播速度 ;;;;;;;;;;X,,,,
FE_SPY;间谍 ;;;;;;;;;;X,,,,
FE_OVERRUN;超限部队规模 ;;;;;;;;;;X,,,,
OPENEDMARKETREQ;$ACTOR$想要我们开放市场\n并允许他们的商人进行贸易. ;;;;;;;;;;X,,,,
OPENMARKETTITLE;开放市场 ;;;;;;;;;;X,,,,
ICON_OPEN_MARKET;开放市场 ;;;;;;;;;;X,,,,
OPEN_MARKET_DESC;你确定要求开放市场吗? \n这会使我们能在这里贸易, \n增强我国经济实力. ;;;;;;;;;;X,,,
MARKETOPEN;市场已开放 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_SETUP;同意开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_HEADER;$MESSENGER$ ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_1;开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_2;$RECIPIENT$明智的决定  ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_3;开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_4;使我们可以不用武力打开他们的国门 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_5;我们的商人已经等不及获得先机了 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_6; ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_LOG;$RECIPIENT$对我们开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_BTN1;好的 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_BTN2;好的 ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_BTN3; ;;;;;;;;;;X,,,,
MARKETOPENEDACCEPT_MAP; ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_SETUP;拒绝开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_HEADER;$MESSENGER$ ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_1;拒绝开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_2;$RECIPIENT$已经决定  ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_3;不向我们的商人 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_4;开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_5; ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_6; ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_LOG;$RECIPIENT$拒绝对我们开放市场 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_BTN1;好的 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_BTN2;好的 ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_BTN3; ;;;;;;;;;;X,,,,
MARKETOPENEDREJECT_MAP; ;;;;;;;;;;X,,,,
MARKETCLOSED;该市场已关闭, \n可以试着用武力或外交来打开. ;;;;;;;;;;X,,,
LEDGER_STRUCTURE_BUILDING_OVERVIEW;建筑 ;;;;;;;;;;X,,,,
LEDGER_REVOLTRISK;叛乱度 ;;;;;;;;;;X,,,,
LEDGER_BORDER_PROVINCE;边境省份 ;;;;;;;;;;X,,,,
COMBAT_DISCIPLINE;训练 ;;;;;;;;;;X,,,,
DISCIPLINE;训练 ;;;;;;;;;;X,,,,
LEDGER_LAND_DISCIPLINE;陆军训练度 ;;;;;;;;;;X,,,,
LEDGER_CANT_BUILD_THIS;你现在的科技不允许你建造这个建筑 ;;;;;;;;;;X,,,,
ledger_temple;每一个省份都会使稳定花费增加. 教堂可以减\n少稳定花费. 值得建造教堂的省份是那些远离\n边境的富饶地方. ;;;;;;;;;;X,,,,
ledger_workshop;工场会提高省份税收. 其他变量会使最终税收\n变化, 但工场的修正在它们之前起作用, 推荐\n尽可能多的修建. ;;;;;;;;;;X,,
ledger_regimental_camp;兵营提高省份后备兵员数量和征募速度. 这是\n高后备兵员省份的理想建筑;;;;;;;;;;X,,,,
ledger_shipyard;造船厂加快省份的船只建造速度. 最好建在你\n会大量生产船只的省份. ;;;;;;;;;;X,,,,
ledger_constable;治安署会提高税收和叛乱度. 最好建在高税收\n省份. 法院可以减少叛乱度, 所以两种建筑推\n荐建在一起. 税务局能增加工场的税收. ;;;;;;;;;;X,,,
ledger_courthouse;法院可以减少除了复国主义叛乱之外的叛乱度. \n推荐尽可能多的修建. ;;;;;;;;;;X,,,,
ledger_tax_assessor;税务局可以降低通货膨胀. 即使你目前没有通\n货膨胀也推荐建造, 因为这可以使你每月收入\n国库的钱增加. 推荐尽可能多的修建. ;;;;;;;;;;X,,,
ledger_customs_house;海关可以稍稍提高省份税收, 推荐在富饶省份\n建造. ;;;;;;;;;;X,,,
ledger_fort1;建造要塞可以使敌军占领省份所花费的时间延\n长, 也可以使你的军队有更多时间对付叛乱. ;;;;;;;;;;X,,,
IDEA_NOT_FULLFILL_PREQUES;你没有满足此国家理念的先决条件. ;;;;;;;;;;X,,,,
LAND_ATTRITION;陆军损耗 ;;;;;;;;;;X,,,,
NAVAL_ATTRITION;海军损耗 ;;;;;;;;;;X,,,,
MAY_ATTACK_GOVERNMENT_ENEMIES;宣战不同政体国家不需要宣战理由. ;;;;;;;;;;X,,,,
STARTED;开始时间;;;;;;;;;;X,,,,
WON;胜利 ;;;;;;;;;;X,,,,
LOST;失败 ;;;;;;;;;;X,,,,
LEDGER_POPULATION;人口;;;;;;;;;;X,,,,
LEDGER_POPULATION_INCREMENTS;人口增长率;;;;;;;;;;X,,,,
LEDGER_COST;移民费用;;;;;;;;;;X,,,,
LEDGER_DAYS;天;;;;;;;;;;X,,,,
LEDGER_NATIVE_SIZE;原住民数量;;;;;;;;;;X,,,,
LEDGER_AGGRESSIVENESS;攻击性;;;;;;;;;;X,,,,
LEDGER_FEROCITY;野蛮度;;;;;;;;;;X,,,,
LEDGER_LEADER_TITLE;世界优秀将军;;;;;;;;;;X,,,,
LEDGER_LIGHT_SHIP;小型战舰;;;;;;;;;;X,,,,
LEDGER_BIG_SHIP;大型战舰;;;;;;;;;;X,,,,
LEDGER_TRANSPORT;运输船;;;;;;;;;;X,,,,
LEDGER_GALLEY;桨帆战舰;;;;;;;;;;X,,,,
LEDGER_INFANTRY;步兵;;;;;;;;;;X,,,,
LEDGER_CAVALRY;骑兵;;;;;;;;;;X,,,,
LEDGER_ARTILLERY;战车;;;;;;;;;;X,,,,
LEDGER_ALLARMIES_TITLE;陆军;;;;;;;;;;X,,,,
LEDGER_ALLNAVIES_TITLE;海军;;;;;;;;;;X,,,,
LEDGER_COLONIES;新垦区;;;;;;;;;;X,,,,
LEDGER_FIRE;统御;;;;;;;;;;X,,,,
LEDGER_SHOCK;勇武;;;;;;;;;;X,,,,
LEDGER_MANEUVER;智略;;;;;;;;;;X,,,,
LEDGER_SEIGE;围攻;;;;;;;;;;X,,,,
###############UNITS#############;;;;;;;;;;;X,,,,
COLONISATION_FAILED;移民失败;;;;;;;;;;X,,,,
COLONISATION_SUCCEDED;移民成功;;;;;;;;;;X,,,,
YOU_LOST;你失败了;;;;;;;;;;X,,,,
YOU_WON;你胜利了;;;;;;;;;;X,,,,
WAR_OVERVIEW_SHORT;战争概览;;;;;;;;;;X,,,,
MOVE_CAPITAL_SHORT;点击这里将首都搬迁到这个省份;;;;;;;;;;X,,,,
MOVE_CAPITAL_SHORT_CORE;你不能迁都到这里因为它不是个核心省份;;;;;;;;;;X,,,,
MOVE_CAPITAL_SHORT_MONEY;你不能迁都到这个省份. \n你需要$MONEY$的金钱和$STABILITY$的稳定度. ;;;;;;;;;;X,,,,
MOVE_CAPITAL_LONG;迁移你的首都可能是有利的, \n特别是当它处在危险地带时. ;;;;;;;;;;X,,,
MOVE_CAPITAL_COST;迁都的代价是$STABILITY$的稳定度和$MONEY$的金钱;;;;;;;;;;X,,,,
HRE_DISMANTLE;取缔周王室;;;;;;;;;;X,,,,
YOUR_CAPITAL;我们的首都;;;;;;;;;;X,,,,
CONFIRMMOVECAPITALTEXT;你确定要把首都迁移到这个新地方? ;;;;;;;;;;X,,,,
COST_STABILITY;花费$AMOUNT$金币与$STABILITY$稳定;;;;;;;;;;X,,,,
OPTION_CHANGED;$FROM$转变为$TO$;;;;;;;;;;X,,,,
MERC_INF;雇佣步兵;;;;;;;;;;X,,,,
